DHEA,dhea,C0011185
sponsor kit of promotional materials,sponsor kit promotional materials,C1711305|C0812225|C0033414|C0520510
povidone-iodine,povidone-iodine,C0032857
defibrillator implantation,defibrillator implantation,C0180307|C0021107
check-in telephone calls,check-in telephone calls,C1283174|C0039457|C0679006
200 mg metoprolol,200 metoprolol,C1442061|C0025859
glucose,glucose,C0017725
National Survey for Children 's Health 2003-2004 telephone interview,national survey children health 2003-2004 telephone interview,C3245503|C0038951|C0008059|C0018684|G0000000|C0039457|C0021822
minimally invasive surgery,minimally invasive surgery,G0000000|C0205281|C0038894
Minimal Intervention,minimal intervention,C0547040|C0886296
preoperative or definitive radiation,preoperative definitive radiation,C0445204|C0443196|C0034519
oral EMP ( 10 mg kg day continuously ) or oral EMP in combination with intravenous VBL,oral emp 10 day continuously oral emp combination intravenous vbl,C0442027|C1422169|C0450371|C0332173|G0000000|C0442027|C1422169|C0205195|C0348016|C0042670
Similac With Iron and Similac With Whey + Iron,similac iron similac whey + iron,C0727850|C0302583|C0727850|C0078479|G0000000|C0302583
autologous,autologous,C0439859
sodium intake being supplemented,sodium intake supplemented,C0037473|C1512806|C0242295
lanthanum carbonate,lanthanum carbonate,C0023031|C0007026
combination treatment ( TC + RP group ),combination treatment tc + rp,C0205195|C0039798|C0039411|G0000000|C0031529
surgery,surgery,C0038894
SBM supplement/d,sbm supplement/d,G0000000|C0242295
coronary angioplasty,coronary angioplasty,C0018787|C0162577
maximum dose valsartan/HCTZ 160/25 mg,maximum dose valsartan/hctz 160/25,C0806909|C0178602|C0216784|C1442061
PRO discharge screens,pro discharge screens,C0033382|C0012621|C0220908
cord clamping delayed till descent of placenta into vagina,cord clamping delayed till descent placenta vagina,C1550235|C0521213|C0205421|G0000000|C0205386|C0032043|C0042232
"anti-inflammatory , accommodative , or mechanical .",anti-inflammatory accommodative mechanical,C0003209|C0000936|C0443254
enalapril at 10 mg day ( -1 ),enalapril 10 day -1,C0014025|C0450371|C0332173|G0000000
parent-mediated interventions,parent-mediated interventions,C0030551|C0886296
computerised posturography,computerised posturography,G0000000|C0919611
intramuscular magnesium sulphate,intramuscular magnesium sulphate,C0021492|C0024467|C0038720
reamed nailing .,reamed nailing,G0000000|C0021885
mebendazole,mebendazole,C0025023
citalopram,citalopram,C0008845
norethindrone acetate,norethindrone acetate,C0028356|C0000975
PLC .,plc,G0000000
injection 5 min before surgery,injection 5 min surgery,C0021485|G0000000|C0702093|C0038894
strength training,strength training,C0237897|C0040607
", neutral-pH , bicarbonate-buffered PD fluid",neutral-ph bicarbonate-buffered pd fluid,C1882074|C0005367|G0000000|C0005889
resistance and endurance training,resistance endurance training,C0237834|C0518031|C0040607
Rheopheresis,rheopheresis,G0000000
antifibrinolytic tranexamic acid,antifibrinolytic tranexamic acid,C0003304|G0000000|C0001128
Mann-Whitney U test,mann-whitney test,G0000000|C0022885
diazoxide,diazoxide,C0012022
tamoxifen ( 20 mg/day ),tamoxifen 20 mg/day,C0039286|C0450371|C0439422
application of intranasal isotonic,application intranasal isotonic,C0185125|C0442118|G0000000
diclofenac suppository,diclofenac suppository,C0012091|C0031246
finasteride,finasteride,C0060389
Fluvoxamine,fluvoxamine,C0085228
standard CVC procedure provided by nurses,standard cvc procedure provided nurses,C1442989|G0000000|C0184661|C1999230|C0028661
tocainide,tocainide,C0085237
cholestyramine treatment,cholestyramine treatment,C0008402|C0039798
Lovastatin,lovastatin,C0024027
high dietary acid load,dietary acid load,C0012155|C0001128|C1550025
pretreatment plasma EBV-DNA quantification,pretreatment plasma ebv-dna quantification,C1550147|C0032105|C0014644|C1709793
treated with either medication or trabeculectomy,treated medication trabeculectomy,C1522326|C0013227|C0040574
Myofascial Trigger Point ( MTrP ) therapy plus modified PNF stretching,myofascial trigger mtrp therapy modified pnf stretching,G0000000|C0032930|C1417056|C0039798|C0392747|G0000000|C0600080
report card interventions .,report card interventions,C0684224|C3275277|C0886296
indobufen ( K 3920 ) .,indobufen 3920,C0063479|G0000000
SLE 2000 ventilator,sle 2000 ventilator,C0024141|G0000000|C0087153
Analysis and Review ( MEDPAR ) data files ;,analysis review medpar data files,C0002778|C0282443|G0000000|C1511726|C0016094
codeine and acetaminophen,codeine acetaminophen,C0009214|C0000970
Visual field progression was analyzed using repeated measures models,visual field progression analyzed repeated measures models,C0234621|C0440042|C0242656|C0936012|C0205341|C0079809|C3161035
selenium as selenized yeast,selenium selenized yeast,C0036581|G0000000|C0036025
"selamectin , fipronil- ( S ) -methoprene , and imidacloprid",selamectin fipronil- -methoprene imidacloprid,C0961275|C0218501|C0025674|C0218499
4 years,4,G0000000
Ventilator-delivered mask ventilation,ventilator-delivered mask ventilation,C0087153|C0024861|C0035203
donepezil administered alone,donepezil administered,C0527316|C1521801
home visit monitoring,visit monitoring,C0545082|C0150369
maprotiline,maprotiline,C0024778
mizolastine with loratadine,mizolastine loratadine,C0171302|C0065180
retrograde intramedullary supracondylar nail ( RIMSN ),retrograde intramedullary supracondylar nail rimsn,C0439784|C1512957|G0000000|C0027342|G0000000
chlorhexidine-based solution,chlorhexidine-based solution,C0008196|C0037633
IFN-alpha,ifn-alpha,C1415900
versus,versus,G0000000
RT-alone,rt-alone,C0230425
Corticosteroids plus pulse cyclophosphamide and plasma exchanges,corticosteroids pulse cyclophosphamide plasma exchanges,C0001617|C0232117|C0010583|C0032105|C0678640
refrain from making self-disclosures during treatment,refrain self-disclosures treatment,G0000000|C0036596|C0039798
Prophylactic intraaortic balloon pumping,prophylactic intraaortic balloon pumping,C0355642|G0000000|C0336867|C0182537
GHRH plus saline,ghrh saline,G0000000|C0036082
strict treatment to maintain systolic blood pressure,strict treatment maintain systolic blood pressure,G0000000|C0039798|C0024501|C0039155|C0005767|C0033095
alpha-2b interferon maintenance,alpha-2b interferon maintenance,C0439095|C0021747|C0024501
interferon-alpha,interferon-alpha,C0002199
Urea Breath Test,urea breath test,C0041942|C0225386|C0022885
bionator,bionator,C0005548
tegafur/uracil and oral leucovorin versus parenteral fluorouracil and leucovorin,tegafur/uracil oral leucovorin versus parenteral fluorouracil leucovorin,C0936116|C0442027|C0023413|G0000000|C0030547|C0016360|C0023413
VDMV,vdmv,G0000000
introducer tool technique,introducer tool technique,C0456642|C0336791|C0449851
Melatonin,melatonin,C0025219
single-agent docetaxel,single-agent docetaxel,C0037179|C0246415
modified Mallampati test,modified mallampati test,C0392747|G0000000|C0022885
conservative therapy,conservative therapy,G0000000|C0039798
bolus mitomycin-C or oral methyl-CCNU,bolus mitomycin-c oral methyl-ccnu,C1511237|C0002475|C0442027|C0036637
uncrowded logMAR acuity test,uncrowded logmar acuity test,G0000000|G0000000|C0750509|C0022885
folic acid supplement,folic acid supplement,G0000000|C0001128|C0242295
modified behavioral treatment,modified behavioral treatment,C0392747|C0004927|C0039798
regular opioids plus placebo .,regular opioids placebo,C0205272|C0242402|C0032042
tubular airway resistance,tubular airway resistance,C0332208|C0178987|C0237834
retention of needles on head ],retention needles head,C0035280|C0027551|C0018670
Mohs micrographic surgery .,mohs micrographic surgery,G0000000|C0240341|C0038894
5 mL/kg intravenous bolus of crystalloids,5 ml/kg intravenous bolus crystalloids,G0000000|C1300574|C0348016|C1511237|C0056562
multisensory temporal tasks,multisensory temporal tasks,G0000000|C0442043|C3540678
tocilizumab,tocilizumab,C1609165
concurrent chemoradiotherapy,concurrent chemoradiotherapy,C0205420|C0436307
early reinfusion group,reinfusion,C0854643
Minocycline,minocycline,C0026187
benazepril 5 or 10 mg once daily,benazepril 5 10 daily,C0053091|G0000000|C0450371|C0332173
teledermatology,teledermatology,G0000000
diet-controlled crossover intervention,diet-controlled crossover intervention,C0743195|C0010366|C0886296
desipramine hydrochloride,desipramine hydrochloride,C0011685|C1512523
web-based patient activation intervention,web-based patient activation intervention,C0282111|C0030705|C1879547|C0886296
"given postcards at their final study visit to be completed and mailed on or after January 1 , 1996",postcards final study visit completed mailed january 1 1996,C2717852|C0205088|C0557651|C0545082|C0205197|C0024492|C3829466|G0000000|G0000000
features and outcomes of therapy in these children were compared by age,features outcomes therapy children compared age,C1521970|C1274040|C0039798|C0008059|C1707455|C0001779
ethinyl estradiol/levonorgestrel .,ethinyl estradiol/levonorgestrel,G0000000|C1828124
booster vaccination,booster vaccination,C1697762|C0042196
hydrostatic dual-switch valve ( DSV ),hydrostatic dual-switch valve dsv,G0000000|C1554184|C0184252|G0000000
nizatidine CR .,nizatidine cr,C0085154|C0201975
etched adhesive and its cement,etched adhesive cement,G0000000|C0001516|C0011343
Armodafinil,armodafinil,C1701455
MgSO4,mgso4,G0000000
placebo-substitution,placebo-substitution,C0032042
extended-release dipyridamole plus acetylsalicylic acid,extended-release dipyridamole acetylsalicylic acid,C1707968|C0012582|G0000000|C0001128
bougie-guided technique,bougie-guided technique,C0179390|C0449851
systemic hormone therapy ( HT ),systemic hormone therapy ht,C0205373|C0019932|C0039798|C0018510
"( lithium , valproate )",lithium valproate,C0023870|C0080356
lottery tickets,lottery tickets,G0000000|G0000000
receive the ESDM,receive esdm,C1514756|G0000000
usual care group,usual care,C3538928|C1947933
triamcinolone hexacetonide,triamcinolone hexacetonide,C0040864|G0000000
penicillin,penicillin,C0030827
dronabinol,dronabinol,C0039663
pregnanolone,pregnanolone,C0033008
D-C model of job strain,d-c model job strain,C0012358|C3161035|C0028811|C0080194
PTCA,ptca,C2936173
gabapentin-treated,gabapentin-treated,C0060926
angiotensin-converting enzyme inhibitor zofenopril,angiotensin-converting enzyme inhibitor zofenopril,C0003018|C0014442|C1999216|C0078836
an acupuncture group,acupuncture,C0001299
500 mg of propionyl-L-carnitine,500 propionyl-l-carnitine,C1442061|C0072196
aluminum-magnesium antacids,aluminum-magnesium antacids,C1515930|C0003138
short-stay ( SS ),short-stay ss,C1698490|C2699257
droperidol ),droperidol,C0013136
recumbent,recumbent,C0444334
droperidol .,droperidol,C0013136
breast-feeding,breast-feeding,C0006147
medical ozone,medical ozone,C0199168|C0030106
ordinal visual analogue,ordinal visual analogue,C0439080|C0234621|C0243071
occupational,occupational,C0521127
120 degrees fixed angle blade-plate with a buttress rod,120 degrees fixed angle blade-plate buttress rod,C1442061|C0449286|C0443218|C0205143|C0441263|G0000000|C0035086
epidermal growth factor receptor,epidermal growth factor receptor,C0014520|C0018270|C1521761|C0597357
two-filter model,two-filter model,C0205448|C3161035
diluted to 20 ml in normal saline solution,diluted 20 normal saline solution,C1720119|C0450371|C0205307|C0036082|C0037633
manual external defibrillation,manual external defibrillation,C0024763|C0205101|C0013778
metronidazole-neomycin,metronidazole-neomycin,C0025872
"completion of theory of mind and emotion understanding tasks , and parent and teacher questionnaires",completion theory mind emotion understanding tasks parent teacher questionnaires,C0205197|C0871935|C0229992|C0013987|C0162340|C3540678|C0030551|C0221457|C0034394
Cognitive-Behavioral Therapy ( CBT ) program,cognitive-behavioral therapy cbt program,C1516691|C0039798|C0009244|C1709697
cervical spinal manipulative therapy ( SMT ),cervical spinal manipulative therapy smt,C0027530|C0521329|C0947647|C0039798|G0000000
Specific exercises,specific exercises,C0205369|C0015259
"masticatory performance , and the subjective chewing experience",masticatory performance subjective chewing experience,G0000000|C0597198|C0439655|C0024888|C0237607
"3,500 grains/m ( 3 ) ( +/-500 ) of ragweed pollen",3 500 grains/m 3 +/-500 ragweed pollen,G0000000|C1442061|C0086369|G0000000|C1442061|C0331432|C0032385
temporal outcome,temporal outcome,C0442043|C1274040
"bile acid sequestrant , cholestyramine",bile acid sequestrant cholestyramine,C0005388|C0001128|G0000000|C0008402
Histamine tests,histamine tests,C0019588|C0022885
aquatic exercise group and eight to a control group,aquatic exercise control,C0884441|C0015259|C0243148
midazolam+fentanyl,midazolam+fentanyl,C0026056
intravesical BCG,intravesical bcg,C0442124|G0000000
gestodene,gestodene,C0061246
platinum-free,platinum-free,C0032207
invasive approach,invasive approach,C0205281|C0449445
DNAemia cut-off,dnaemia cut-off,G0000000|C1442160
"8-epi-prostaglandin ( PG ) F2 alpha , a stable product of lipid peroxidation in vivo",8-epi-prostaglandin pg f2 alpha stable product lipid peroxidation vivo,C0033554|C1266240|G0000000|C0439095|C0205360|C1514468|C0023779|C0178796|C1515655
intramuscular papaveretum alone ( 20 patients ) for postoperative pain relief .,intramuscular papaveretum 20 patients postoperative pain relief,C0021492|C0030349|C0450371|C0030705|C0032790|C0030193|C0564405
"1,3,4,14b-Tetrahydro-2,7-dimethyl-2H-dibenzo ( b , f ) pyrazino- ( 1,2-d ) - ( 1,4 ) -oxazepine hydrogen maleate ( Org GC 94 )",1 3 4 14b-tetrahydro-2 7-dimethyl-2h-dibenzo pyrazino- 1 2-d - 1 4 -oxazepine hydrogen maleate org gc 94,G0000000|G0000000|G0000000|G0000000|C2247463|G0000000|G0000000|C0073187|G0000000|G0000000|G0000000|G0000000|C0020275|C0220874|C1522486|C3537453|C0450371
couple-responsible episodes,couple-responsible episodes,C0010222|C0332189
lag,lag,C1416797
levobupivacaine,levobupivacaine,C0873118
oral lithium carbonate 1200 mg daily,oral lithium carbonate 1200 daily,C0442027|C0023870|C0007026|G0000000|C0332173
methyl-CCNU,methyl-ccnu,C0036637
with ( RXU+E ) or without ( RXU ) selective enamel etching,rxu+e rxu selective enamel etching,G0000000|G0000000|C0036576|C0011350|G0000000
sham and an active ITD,sham active,C0068899|C0205177
500 mg valacyclovir once daily,500 valacyclovir daily,C1442061|C0249458|C0332173
Umbilical cord serum or autologous serum drops,umbilical cord serum autologous serum drops,C0041638|C1550235|C0229671|C0439859|C0229671|C0991568
community caregiver training interventions,community caregiver training interventions,C0009462|C0085537|C0040607|C0886296
aromatherapy massage,aromatherapy massage,C0376547|C0024875
propranolol with placebo,propranolol placebo,C0033497|C0032042
ipsilateral arm forward swing,ipsilateral arm forward swing,C0441989|C0446516|C0439780|G0000000
leukotriene antagonist montelukast,leukotriene antagonist montelukast,C0023545|C0231491|C0298130
no antibiotics,antibiotics,C0003232
rapid-sequence intubation maneuvers,rapid-sequence intubation maneuvers,C0456962|C0021925|G0000000
electroencephalogram,electroencephalogram,C0013819
oral calcitonin gene-related peptide receptor,oral calcitonin gene-related peptide receptor,C0442027|C0006668|C0017337|C0030956|C0597357
nonweighted vest,nonweighted vest,G0000000|C0453884
conventional care alone,conventional care,C0439858|C1947933
Initial surgery,initial surgery,C0205265|C0038894
with implantation of a prolene mesh in all,implantation prolene mesh,C0021107|C0917843|C0181805
180- and 300-second stretching,180- 300-second stretching,C1442061|C1442061|C0600080
180 seconds of stretching,180 stretching,C1442061|C0600080
short nurse-based and a long multidisciplinary version of structured patient education,short nurse-based multidisciplinary version structured patient education,C1282927|C0028661|C0242479|C0333052|C0678594|C0030705|C0013621
dutasteride,dutasteride,C0754659
prasugrel,prasugrel,C1620287
confession decisions .,confession decisions,G0000000|C0679006
error correction teaching procedures .,error correction teaching procedures,C0743559|C1705565|C0039401|C0025664
DASH ( Dietary Approaches to Stop Hypertension ) diet,dash dietary approaches hypertension diet,C2827624|C0012155|C0449445|C0020538|C0012155
technique,technique,C0449851
noninvasive approach,noninvasive approach,C0205303|C0449445
gutta-percha,gutta-percha,C0018407
a Chinese formulated herbs product ( Kuntai ),chinese formulated herbs product kuntai,C0008120|G0000000|C0019240|C1514468|G0000000
teacher,teacher,C0221457
treatment as usual,treatment usual,C0039798|C3538928
Percutaneous anterior abdominal ultrasound guidance,percutaneous anterior abdominal ultrasound guidance,C0522523|C0205094|C0000726|C0041618|C0150600
GI prokinetic agents,gi prokinetic agents,C1708130|G0000000|C0450442
hypertonic saline solutions,hypertonic saline solutions,G0000000|C0036082|C0037633
low dose recombinant of IL-2,low dose recombinant il-2,C0205251|C0178602|C1514798|C0020898
furosemide ( 50 mg/day ),furosemide 50 mg/day,C0016860|C0450371|C0439422
TORS,tors,C0076836
"cyclophosphamide , methotrexate , and 5-fluorouracil",cyclophosphamide methotrexate 5-fluorouracil,C0010583|C0025677|C0016360
anesthetic infiltration,anesthetic infiltration,C0002932|C0332448
all-E-Zeaxanthin,all-e-zeaxanthin,C0078752
glucocorticoid,glucocorticoid,C0017710
trivalent ferrum preparation,trivalent ferrum preparation,G0000000|G0000000|C1521827
"dimethylpolysiloxane , alone",dimethylpolysiloxane,C0012436
fluorescent tracers,fluorescent tracers,C0303920|C1522485
p16 ( INK4a ),p16 ink4a,G0000000|G0000000
enhanced label,enhanced label,C2349975|C0181496
Acustimulation wrist bands,acustimulation wrist bands,C1515885|C0043262|C0175723
saliva,saliva,C0036087
single 200-mg oral dose of itraconazole,single 200-mg oral dose itraconazole,C0037179|C1442061|C0442027|C0178602|C0064113
concurrent operants paradigm,concurrent operants paradigm,C0205420|G0000000|C0681797
lidocaine gel,lidocaine gel,C0023660|C0017243
trained to match probes to targets,trained match probes targets,C0336809|C0150103|C0182400|C1521840
bupivacaine-fentanyl,bupivacaine-fentanyl,C1329986
chiropractic with or without physical modalities,chiropractic physical modalities,C0008138|C0031809|C0695347
refrigerator-stable formulation of Zostavax,refrigerator-stable formulation zostavax,C0034958|C0524527|C1720919
progesterone treatment after laparoscopic surgery,progesterone treatment laparoscopic surgery,C0033308|C0039798|C0031150|C0038894
pregnanolone ( 3alpha-hydroxy-5beta-pregnan-20-one ),pregnanolone 3alpha-hydroxy-5beta-pregnan-20-one,C0033008|C0700307
abdominal angiography,abdominal angiography,C0000726|C0002978
enalapril ( 20 mg/day ),enalapril 20 mg/day,C0014025|C0450371|C0439422
marine oils supplementation,marine oils supplementation,C0524645|C0028908|C0242297
sustained-release preparations,sustained-release preparations,C1710261|C1521827
anti-HER2 therapy,anti-her2 therapy,G0000000|C0039798
milrinone,milrinone,C0128513
inhaled filtered air ( FA ),inhaled filtered air fa,C0004048|C0180860|C0001861|G0000000
"recognition , mirror movements , recognition ( RecMirRec ) .",recognition mirror movements recognition recmirrec,C0524637|C0181868|C0026649|C0524637|G0000000
"neurosurgical operation and drug treatment ( Mannitol , Citioline Sodium , Cefeazidime , etc. )",neurosurgical operation drug treatment mannitol citioline sodium cefeazidime,G0000000|C0543467|C0013227|C0039798|C0024730|G0000000|C0037473|G0000000
lopinavir/ritonavir,lopinavir/ritonavir,C0939237
folinic acid ( FA ),folinic acid fa,G0000000|C0001128|G0000000
six frequencies ( from 0.25 to 8 kHz ),frequencies 0 25 8 khz,C0439603|G0000000|C0450371|G0000000|C0556965
Cytoxan,cytoxan,C0699319
Arm-cranking exercise,arm-cranking exercise,C0446516|C0015259
butylscopolamine,butylscopolamine,C0006519
Empiric broad-spectrum antibiotic therapy,empiric broad-spectrum antibiotic therapy,C1880496|C0332464|C0003232|C0039798
GEE-independent method,gee-independent method,C0085862|C0025663
leukotriene D4,leukotriene d4,C0023545|C3538936
digital rectal examination ( DRE ),digital rectal examination dre,C0442015|C0205052|G0000000|C1384593
diet group,diet,C0012155
risk counseling,risk counseling,C0035647|C0010210
low-frequency rTMS,low-frequency rtms,C0205213|G0000000
"electroconvulsive therapy ( ECT , and milieu",electroconvulsive therapy ect milieu,G0000000|C0039798|C0013806|G0000000
ACL-implantation,acl-implantation,C0078960
"vitamin E , 400 IU ;",vitamin 400 iu,C0042890|C1442061|C0049272
mild exercise training,mild exercise training,C2945599|C0015259|C0040607
behavior therapy,behavior therapy,C0004927|C0039798
aminophylline,aminophylline,C0002575
"tinidazole , clarithromycin and ranitidine bismuth citrate",tinidazole clarithromycin ranitidine bismuth citrate,C0040263|C0055856|C0034665|C0005642|C0008857
placebo-controlled folic acid-supplementation,placebo-controlled folic acid-supplementation,C1706408|G0000000|C0001128
saline injections .,saline injections,C0036082|C0021485
tribochemical silica coating,tribochemical silica coating,G0000000|C0037098|C1522408
ozonotherapy,ozonotherapy,G0000000
doses of methylphenidate,doses methylphenidate,C0178602|C0025810
( implemented the intervention ),implemented intervention,G0000000|C0886296
oral temazepam,oral temazepam,C0442027|C0039468
citalopram-treated,citalopram-treated,C0008845
receiving 50 mg of NAL or 150-450 mg of PRE .,receiving 50 nal 150-450 pre,C1514756|C0450371|G0000000|C1442061|C0332152
Motivational Interviewing ( MI ),motivational interviewing mi,C0026605|C0021822|C3810814
"regularly treated with salbutamol 200 micrograms twice daily during the study period , to avoid variability in beta2-adrenoceptor tolerance .",regularly treated salbutamol 200 micrograms daily study period avoid variability beta2-adrenoceptor tolerance,G0000000|C1522326|C0001927|C1442061|C0439211|C0332173|C0557651|C0439531|G0000000|C2827666|C0034783|C0013220
ESWL with diuresis during the ESWL session,eswl diuresis eswl session,C0015359|C0012797|C0015359|C1883016
Olopatadine,olopatadine,C0527189
18 mm heel lifts,18 mm heel lifts,C0450371|G0000000|C0018870|C0181620
14-day,14-day,C0450371
isoproterenol solution,isoproterenol solution,C0022245|C0037633
stentless,stentless,G0000000
diuretic,diuretic,C0012798
rifampicin 600 mg/day and ciprofloxacin 1 g/day for 30 days,rifampicin 600 mg/day ciprofloxacin 1 g/day 30 days,C0035608|C1442061|C0439422|C0008809|G0000000|C0439417|C0450371|C0439228
Cognitive-behavioral therapy,cognitive-behavioral therapy,C1516691|C0039798
telephone-delivered intervention for,telephone-delivered intervention,C0039457|C0886296
conjugated equine estrogens,conjugated equine estrogens,C0522529|C0019944|C0014939
timolol maleate,timolol maleate,C0040233|C0220874
manual compression ( MC ),manual compression mc,C0024763|C0332459|C0024403
MTX and infliximab,mtx infliximab,C0025677|C0666743
angiotensin II infusion,angiotensin ii infusion,C0003018|G0000000|C0574032
subcutaneous dosing .,subcutaneous dosing,C0443315|G0000000
first booster vaccination,booster vaccination,C1697762|C0042196
human chorionic gonadotrophin ( HCG ) supplementation,human chorionic gonadotrophin hcg supplementation,C0086418|C0008503|C0018061|G0000000|C0242297
ketorolac in the other,ketorolac,C0073631
"in addition , they were given the opportunity to attend their general practitioner to discuss preventive health .",addition opportunity attend practitioner preventive health,C0332287|G0000000|C1999232|C1709627|C0445202|C0018684
Spatial orientation adjustments,spatial orientation adjustments,C1428114|C0029266|C0376209
flunitrazepam,flunitrazepam,C0016296
topical and oral therapy with ofloxacin,topical oral therapy ofloxacin,C0332237|C0442027|C0039798|C0028902
Endovascular aneurysm repair ( EVAR ),endovascular aneurysm repair evar,C0524425|C0002940|C0043240|G0000000
Azithromycin,azithromycin,C0052796
7-hexanoyltaxol,7-hexanoyltaxol,G0000000
cyclosporin A,cyclosporin,C0010592
vegetable oil,vegetable oil,C0042440|C0028908
Effective Cardiac Treatment :,effective cardiac treatment,C1280519|C0018787|C0039798
to prompt them to ask questions during their next physician 's visit about preventive care,prompt questions physician visit preventive care,C0871157|C1522634|C0031831|C0545082|C0445202|C1947933
PAC14,pac14,G0000000
finasteride-treated,finasteride-treated,C0060389
nephrostomy tube ( NT ),nephrostomy tube nt,C0278314|C0175730|C0332126
LTS-D,lts-d,C0206193
stepwise assessment tool of operative skills ( SATOS ),stepwise assessment tool operative skills satos,G0000000|C1261322|C0336791|C1882154|C0678856|G0000000
Central venous catheters were placed into the right IJV by the Seldinger technique,central venous catheters ijv seldinger technique,C0205099|C0042449|C0085590|G0000000|G0000000|C0449851
gastric electrical stimulation,gastric electrical stimulation,C0038351|C0013790|C1292856
Folate intakes,folate intakes,C0178638|C1512806
treatment with or without a proton pump inhibitor,treatment proton pump inhibitor,C0039798|C0033727|C0182537|C1999216
castor oil,castor oil,C0004900|C0028908
room temperature irrigation fluid ( 70 degrees F ),temperature irrigation fluid 70 degrees,C0005903|C0022100|C0005889|C0450371|C0449286
interferon alfa-2b ( IFN ),interferon alfa-2b ifn,C0021747|C0439095|G0000000
risperidone ;,risperidone,C0073393
benzodiazepine,benzodiazepine,C0005064
SRP only,srp,C0074512
continuous treatment with 10 parts per million ( ppm ) inhaled NO,continuous treatment 10 ppm inhaled,C0549178|C0039798|C0450371|C0439187|C0004048
core-decompression,core-decompression,C0444669
perphenazine,perphenazine,C0031184
YM17E .,ym17e,G0000000
whey protein concentrate prepared from the milk of cows that have been immunized against Clostridium difficile,whey protein concentrate prepared milk cows immunized clostridium difficile,C0078479|C0033684|C1880310|C4082130|C0026131|C3539595|G0000000|C0009054|G0000000
macular grid laser photocoagulation ( GLP ),macular grid laser photocoagulation glp,C0332574|C1415284|C0023089|C0023694|C0018301
Dacron patch angioplasty,dacron patch angioplasty,C0947693|C0332461|C0162577
tamoxifen to epirubicin,tamoxifen epirubicin,C0039286|C0014582
Torcetrapib,torcetrapib,C1450533
Aztreonam,aztreonam,C0004521
Primary stenting,primary stenting,C0205225|C0038257
Yoga,yoga,C0043418
triple rabeprazole-based eradicating regimens,triple rabeprazole-based eradicating regimens,C0205174|C0378482|G0000000|C2945654
Primary deep sclerectomy,primary deep sclerectomy,C0205225|C0205125|C0197557
CO2 laser vaporization or/plus 5-FU,co2 laser vaporization or/plus 5-fu,G0000000|C0023089|C0348007|C0332287|C0016360
functional magnetic resonance imaging,functional magnetic resonance imaging,C0205245|C0024488|C0231881|C0011923
P-selectin blocking agent,p-selectin blocking agent,C0134835|C0233660|C0450442
acute dose of Eimeria maxima,acute dose eimeria maxima,C0205178|C0178602|C0013739|C0806909
guided imagery modality .,guided imagery modality,C0181090|C0150627|C0695347
antirheumatic drug therapy,antirheumatic drug therapy,C0003191|C0013227|C0039798
tetanus toxoid adjuvant,tetanus toxoid adjuvant,C0039614|C0040555|C0001551
combined application of brushing and biopsy,combined application brushing biopsy,C0205195|C0185125|C0040461|C0005558
group format of CBT,format cbt,C1301627|C0009244
theophylline and ketotifen,theophylline ketotifen,C0039771|C0022642
PCNL,pcnl,G0000000
docetaxel,docetaxel,C0246415
brushings before and after biopsy,brushings biopsy,C0040461|C0005558
Social Communication Assessment for Toddlers with Autism ( SCATA ),social communication assessment toddlers autism scata,C0728831|C0009452|C1261322|C0682053|C0004352|G0000000
IT methotrexate group .,methotrexate,C0025677
Continuous clodronate treatment,continuous clodronate treatment,C0549178|C0162357|C0039798
ORG-2766,org-2766,C1522486
low-dose clonidine versus placebo and low-dose aspirin versus placebo,low-dose clonidine versus placebo low-dose aspirin versus placebo,C0445550|C0009014|G0000000|C0032042|C0445550|C0004057|G0000000|C0032042
web-based tailored,web-based tailored,C0282111|C0402883
pronase,pronase,C0033417
calcium,calcium,C0006675
intensive insulin therapy,intensive insulin therapy,C0162425|C0021641|C0039798
composite Y-graft,composite y-graft,C0205199|C0181074
chemotherapy ( cyclophosphamide ),chemotherapy cyclophosphamide,C0013216|C0010583
"health check which included being screened for cardiovascular risk factors , lung and liver function , fitness , sight and hearing and an optional test for the human immunodeficiency virus ( HIV ) ;",health check included screened cardiovascular risk factors lung liver function fitness sight hearing optional test human immunodeficiency virus hiv,C0018684|C1283174|C0332257|C0220908|C0007226|C0035647|C1521761|C0024109|C0023884|C0031843|C1456706|C0042789|C0018767|C1518600|C0022885|C0086418|C0021051|C0042776|C0019682
doxorubicin 60 mg/m2,doxorubicin 60 mg/m2,C0013089|C0450371|C0026410
direct maximal treadmill test,direct maximal treadmill test,C0439851|C0205289|C0184069|C0022885
chemically inert insufflation gas,chemically inert insufflation gas,C0220806|C4022575|C0021634|C0017110
zilpaterol hydrochloride,zilpaterol hydrochloride,C1259819|C1512523
cold pressor task,cold pressor task,C0009264|C0237795|C3540678
supplemental parenteral nutrients,supplemental parenteral nutrients,C2348609|C0030547|C0678695
"hexamethylmelamine , Adriamycin , and cyclophosphamide ( HAC )",hexamethylmelamine adriamycin cyclophosphamide hac,C0019453|C0085752|C0010583|C0279470
lipid therapy,lipid therapy,C0023779|C0039798
albumin,albumin,C0001924
cophenylcaine or placebo nasal spray,cophenylcaine placebo nasal spray,C2745176|C0032042|C0028429|C1704413
"Various ultrasonic scalers , hand instruments and two power-driven systems",ultrasonic scalers hand instruments power-driven systems,C0220934|C0684254|C0018563|C0348000|C0032863|C0449913
Special-effect contact lenses,special-effect contact lenses,C0205555|C0332158|C0023317
