third stage of labor,stage labor,C0205390|C0022864
1439,1439,G0000000
34+/-2 yr,34+/-2 yr,C0450371|C0439234
"Forty-four children , ages 8-11 years",forty-four children ages 8-11,C3816449|C0008059|C0001779|C0450371
untreated clinical stage I/II HL,untreated clinical stage i/ii hl,C0332155|C0205210|C0205390|C0021966|C1453952
hyperinsulinemia,hyperinsulinemia,C0020459
limited disease ( ID and IID ),limited disease iid,C0439801|C0012634|G0000000
thioquanine,thioquanine,G0000000
LTBI,ltbi,G0000000
duodenal ulcers,duodenal ulcers,C0013303|C0041582
squamous cell carcinomas of the head and neck ( HNSCC,squamous cell carcinomas head neck hnscc,C1182670|C0007634|C0007097|C0018670|C0027530|C1168401
Two hundred forty-four,forty-four,C3816449
tension-free herniotomies,tension-free herniotomies,C0233494|C0405600
Fifty sedentary males,fifty sedentary males,C3816723|C0205254|C0086582
climacteric symptoms,climacteric symptoms,C0008943|C0683368
30 adolescents,30 adolescents,C0450371|C0205653
after conversion to sinus rhythm,conversion sinus rhythm,C0439836|C0016169|C0871269
"cardiac , metabolic , neurological disease",cardiac metabolic neurological disease,C0018787|C0311400|C0205494|C0012634
psychiatric disorders,psychiatric disorders,C0205487|C0012634
squamous cell carcinoma,squamous cell carcinoma,C1182670|C0007634|C0007097
female undergraduate students ( n=342 ) .,female undergraduate students n=342,C0015780|C0682177|C0038492|C0369718
medically refractory gastroparesis,medically refractory gastroparesis,G0000000|C0205269|C0152020
38-45,38-45,C0450371
favorable subgroup,favorable subgroup,C3640814|C1079230
72 patients,72 patients,C0450371|C0030705
18 to 80 years,18 80,C0450371|C0450371
diffuse lung disease,diffuse lung disease,C0205219|C0024109|C0012634
60 to 80,60 80,C0450371|C0450371
75 to 84 years,75 84,C0450371|C0450371
youth,youth,C0001578
Ninety-six patients,ninety-six patients,C3816959|C0030705
amyotrophic lateral sclerosis ( ALS ),amyotrophic lateral sclerosis als,C0026846|C0205093|C0036429|G0000000
40-49 years,40-49,C0450371
68 women,68 women,C0450371|C0043210
epileptic patients,epileptic patients,C0014544|C0030705
carotid endarterectomy,carotid endarterectomy,C0741968|C0014098
at least two normokinetic segments in the myocardial region supplied by the vessel being bypassed,normokinetic segments myocardial region supplied vessel bypassed,G0000000|C0441635|C0027061|C0017446|C1999230|C0005847|C0741847
Subjects ( n = 99 ),subjects = 99,C0681850|G0000000|C0450371
catheters,catheters,C0085590
171 children,171 children,C1442061|C0008059
normal human facial skin flora,normal human facial skin flora,C0205307|C0086418|C0015450|C0444099|G0000000
trauma,trauma,C0043251
mixed depressive state,mixed depressive,C0205430|G0000000
longstanding post-irradiation GH insufficiency,longstanding post-irradiation gh insufficiency,G0000000|C0445177|C0033993|C0231179
6 months to 5 years,6 months 5,G0000000|C0439231|G0000000
Thirty-eight,thirty-eight,C3816446
44 patients,44 patients,C0450371|C0030705
remission induction therapy,remission induction therapy,C0544452|C0205263|C0039798
58 children,58 children,C0450371|C0008059
severe pediatric head injury .,severe pediatric head injury,C0205082|C0030755|C0018670|C3263722
locally advanced resectable rectal cancer,locally advanced resectable rectal cancer,C1517927|C0205179|C1514888|C0205052|C0006826
evaluable lesions,evaluable lesions,C1516986|C0221198
indirect hernias,indirect hernias,C0439852|C0019270
pylori-infected,pylori-infected,C0034196
28-d-old,28-d-old,C0450371
Autism Spectrum Disorder ( ASD ),autism spectrum disorder asd,C0004352|C1883073|C0012634|C0003516
femoral shaft fracture,femoral shaft fracture,C0015811|C0337141|C0016658
E stage,stage,C0205390
intellectual disabilities,intellectual disabilities,G0000000|C0231170
Helicobacter pylori infection,helicobacter pylori infection,C0085508|C0034196|C0009450
myeloma,myeloma,C0026764
female stress urinary incontinence,female stress urinary incontinence,C0015780|C0038435|C0042027|C0021167
18 years or over,18,C0450371
Ninety-six,ninety-six,C3816959
stretched their right hamstrings,stretched hamstrings,C1883175|C0584895
65 to 74,65 74,C0450371|C0450371
polycystic ovary syndrome :,polycystic ovary syndrome,C3273362|C0029939|C0039082
male adolescents,male adolescents,C0086582|C0205653
primary open angle glaucoma,primary angle glaucoma,C0205225|C0205143|C0017601
autism :,autism,C0004352
autism .,autism,C0004352
hip-fracture,hip-fracture,C0019557
equinitrogenous,equinitrogenous,G0000000
temporomandibular disorder,temporomandibular disorder,G0000000|C0012634
Seventy-four post-stroke depressed,seventy-four post-stroke depressed,C3816957|C0687676|C0344315
890 patients,890 patients,C1442061|C0030705
clinically significant anxiety,clinically anxiety,G0000000|C0003467
acoustic neuroma surgery,acoustic neuroma surgery,C0001166|C0027858|C0038894
prior endoscopic treatment,prior endoscopic treatment,C0332152|C0014245|C0039798
13 female,13 female,C0450371|C0015780
diffuse parenchymal lung disease ( DPLD,diffuse parenchymal lung disease dpld,C0205219|C0933845|C0024109|C0012634|G0000000
Twenty-five,twenty-five,C3715062
20 adult enfeebled hemodialysis,20 adult enfeebled hemodialysis,C0450371|C0001675|C3714552|C0019004
patients with symptomatic carotid artery stenosis .,patients symptomatic carotid artery stenosis,C0030705|C0231220|C0741968|C0003842|C0678234
28 males,28 males,C0450371|C0086582
chronic and prolonged episodes of reflux,chronic prolonged episodes reflux,C0205191|C0439590|C0332189|C0017168
percutaneous coronary intervention,percutaneous coronary intervention,C0522523|C0018787|C0886296
heart failure patients,heart failure patients,C0018787|C0231174|C0030705
CIN3,cin3,G0000000
FOB,fob,G0000000
Attention-deficit Hyperactivity Disorder,attention-deficit hyperactivity disorder,C0041671|C0424295|C0012634
depressive disorders,depressive disorders,G0000000|C0012634
post-menopausal,post-menopausal,C0232970
under 5 years,5,G0000000
hypoxic,hypoxic,C0242184
untreated stage I MM,untreated stage mm,C0332155|C0205390|G0000000
parathyroid gland insufficiency,parathyroid gland insufficiency,C0030518|C1285092|C0231179
eight age-matched controls,age-matched controls,C0001779|C0243148
pediatric ADHD,pediatric adhd,C0030755|C1263846
681 low back pain,681 low pain,C1442061|C0205251|C0030193
18.3 +/- 0.6 years,18 3 +/- 0 6,C0450371|G0000000|G0000000|G0000000|G0000000
non-resectable colorectal liver metastases,non-resectable colorectal liver metastases,C1518422|C0555952|C0023884|C0027627
treated by hemiarthroplasty for subcapital fracture of the femoral neck,treated hemiarthroplasty subcapital fracture femoral neck,C1522326|C0744743|G0000000|C0016658|C0015811|C0027530
European,european,C0239307
adults over 50 years of age,adults 50 age,C0001675|C0450371|C0001779
older than 75,75,C0450371
mild to moderate perifollicular inflammation zone,mild moderate perifollicular inflammation zone,C2945599|C0205081|G0000000|C0021368|C1710706
negative colposcopy or a biopsy without CIN,negative colposcopy biopsy cin,C0205160|C0009417|C0005558|G0000000
130 nonsteroid-dependent patients,130 nonsteroid-dependent patients,C1442061|C0851827|C0030705
child,child,C0008059
infants undergoing the Norwood procedure,infants undergoing norwood procedure,C0021270|G0000000|G0000000|C0184661
10 patients with a moderate motor impairment insufficiently controlled by monotherapy with bromocriptine,10 patients moderate motor impairment insufficiently controlled monotherapy bromocriptine,C0450371|C0030705|C0205081|C1513492|C0221099|G0000000|C2587213|G0000000|C0006230
human inferior alveolar nerve block,human inferior alveolar nerve block,C0086418|C0542339|C1440080|C0027740|C0028778
qDES 66,qdes 66,G0000000|C0450371
young,NULL,NULL
ages 3 to 11 years,ages 3 11,C0001779|G0000000|C0450371
reconstructive periodontal surgery,reconstructive periodontal surgery,C0020912|C2960678|C0038894
610,610,C1442061
polycythemia vera,polycythemia vera,C0032461|G0000000
hypertension emergencies,hypertension emergencies,C0020538|C0013956
clinical signs of chronic OA,clinical signs chronic oa,C0205210|C0220912|C0205191|C0029408
primary hypothyroidism,primary hypothyroidism,C0205225|C0020676
benign thyroid nodules,benign thyroid nodules,C0205183|C0040132|C0028259
gastric ulcer and/or a duodenal ulcer,gastric ulcer and/or duodenal ulcer,C0038351|C0041582|G0000000|C0013303|C0041582
severely burned patients,severely burned patients,C0205082|C0006434|C0030705
Crying history,crying history,C0010399|C0019664
20 men,20,C0450371
obese hypertensive,obese hypertensive,C0028754|C0857121
newly-diagnosed epithelial OC,newly-diagnosed epithelial oc,C0750546|C0221908|C1412791
20 heparinized,20 heparinized,C0450371|G0000000
oral health improvement,oral health improvement,C0442027|C0018684|C2986411
One hundred hypertensive,hypertensive,C0857121
ulcer,ulcer,C0041582
female immunocompetent,female immunocompetent,C0015780|C1512656
Parkinson 's disease,parkinson disease,C1021144|C0012634
bleeding,bleeding,C0019080
Zollinger-Ellison syndrome,zollinger-ellison syndrome,G0000000|C0039082
advanced epithelial ovarian cancer,advanced epithelial ovarian cancer,C0205179|C0221908|C0205065|C0006826
parietal ( somatic ) abdominal pain,parietal somatic abdominal pain,C0442030|C1257909|C0000726|C0030193
Thai hypertensive,thai hypertensive,C0337910|C0857121
lung cancer,lung cancer,C0024109|C0006826
preserved ejection fraction,preserved ejection fraction,C0033085|C0302131|C1264633
adolescents with ASD .,adolescents asd,C0205653|C0003516
postpartal anemia,postpartal anemia,G0000000|C0002871
primary diagnosis of autistic disorder,primary diagnosis autistic disorder,C0205225|C0011900|C0004352|C0012634
49 boys,49 boys,C0450371|C0870221
visually demanding air traffic control ( ATC ) task,visually demanding air traffic control atc task,G0000000|C0441516|C0001861|C3840880|C0243148|C0004135|C3540678
psychiatric disorder,psychiatric disorder,C0205487|C0012634
5.9 years,5 9,G0000000|G0000000
end-stage renal failure,end-stage renal failure,C0205088|C0022646|C0231174
infants,infants,C0021270
herpes zoster,herpes zoster,C0019340|C0019360
hypercholesterolemic adults,hypercholesterolemic adults,G0000000|C0001675
5 females,5 females,G0000000|C0015780
alcoholic liver disease,alcoholic liver disease,C0687725|C0023884|C0012634
641,641,C1442061
full-term newborns and children,full-term newborns children,C1547236|C0021289|C0008059
648,648,C1442061
methamphetamine craving,methamphetamine craving,C0025611|C0870371
CABG,cabg,C0010055
root end cavities,root cavities,C0040452|C0011334
Keratosis pilaris,keratosis pilaris,C0022593|G0000000
object location memory task,object location memory task,C0347997|C0450429|C0025260|C3540678
Two hundred twenty-five,twenty-five,C3715062
46 dogs,46 dogs,C0450371|C0012984
Cryptosporidiosis,cryptosporidiosis,C0010418
High-functioning children,high-functioning children,C0205250|C0008059
chronic schizophrenic,chronic schizophrenic,C0205191|G0000000
BMS 56,bms 56,G0000000|C0450371
presyncopal symptom limited lower body negative pressure,presyncopal symptom limited lower body negative pressure,G0000000|C1457887|C0439801|C0441994|C0242821|C0205160|C0033095
ambulatory surgery,ambulatory surgery,C0439841|C0038894
pregnant Pakistani women,pregnant pakistani women,C0549206|C0240620|C0043210
localized prostate cancer,localized prostate cancer,C0392752|C0033572|C0006826
319 women,319 women,C1442061|C0043210
type 1 diabetic patients,type 1 diabetic patients,C0332307|G0000000|C0241863|C0030705
hairy cell leukemia,hairy cell leukemia,C0221958|C0007634|C0023418
stage 1,stage 1,C0205390|G0000000
burned patients,burned patients,C0006434|C0030705
41 yr,41 yr,C0450371|C0439234
stable angina pectoris,stable angina pectoris,C0205360|C0002962|G0000000
polycystic ovary syndrome ( PCOS ) .,polycystic ovary syndrome pcos,C3273362|C0029939|C0039082|C0032460
665,665,C1442061
stage 2,stage 2,C0205390|G0000000
48 healthy,48 healthy,C0450371|C3898900
30 middle aged obese,30 middle aged obese,C0450371|C0444598|C0001779|C0028754
ocular dryness,ocular dryness,C0015392|C1512080
120 patients,120 patients,C1442061|C0030705
Thirty-seven male,thirty-seven male,C3816446|C0086582
amnesics,amnesics,G0000000
578 children,578 children,C1442061|C0008059
Cerebral Palsy,cerebral palsy,G0000000|C0522224
less than 50 years,50,C0450371
chronic back pain,chronic pain,C0205191|C0030193
renal insufficiency,renal insufficiency,C0022646|C0231179
Seventy-five,seventy-five,C3816957
10.4 years,10 4,C0450371|G0000000
Twenty-eight,twenty-eight,C0724000
aphthous stomatitis,aphthous stomatitis,G0000000|C0038362
Sixty-three women,sixty-three women,C3816724|C0043210
Fifty,fifty,C3816723
high-risk ALL,high-risk,C0332167
Thirty-five children,thirty-five children,C3816446|C0008059
relapsers with chronic hepatitis C,relapsers chronic hepatitis,G0000000|C0205191|C0019158
Three,NULL,NULL
681,681,C1442061
683,683,C1442061
6716 children,6716 children,G0000000|C0008059
children diagnosed with Asperger syndrome .,children diagnosed asperger syndrome,C0008059|C0011900|G0000000|C0039082
sepsis,sepsis,C0036690
patients with overactive bladder .,patients overactive bladder,C0030705|C0443272|C0005682
active UC,active uc,C0205177|G0000000
anticoagulation,anticoagulation,C0003281
Fifty-six male,fifty-six male,C3816723|C0086582
"did n't respond to first-line , platinum-based chemotherapy",nt respond first-line platinum-based chemotherapy,C0332126|G0000000|C0205435|C0032207|C0013216
127 healthy,127 healthy,C1442061|C3898900
pancreatic cancer,pancreatic cancer,C0030274|C0006826
acute non-lymphocytic leukaemia .,acute non-lymphocytic leukaemia,C0205178|C1518422|C0023418
advanced coronary disease,advanced coronary disease,C0205179|C0018787|C0012634
three females,females,C0015780
obese subjects,obese subjects,C0028754|C0681850
interferon monotherapy relapsers,interferon monotherapy relapsers,C0021747|G0000000|G0000000
"locally advanced , unresectable , nonmetastatic squamous cell carcinoma of the head and neck .",locally advanced unresectable nonmetastatic squamous cell carcinoma head neck,C1517927|C0205179|C1519810|C1518409|C1182670|C0007634|C0007097|C0018670|C0027530
automated PD,automated pd,C0205554|G0000000
adrenal insufficiency,adrenal insufficiency,G0000000|C0231179
76 men,76,C0450371
between 48 and 73 years,48 73,C0450371|C0450371
gastrectomy,gastrectomy,C0017118
uterine fibroids,uterine fibroids,C0042149|C0023267
cocaine-abusing,cocaine-abusing,C0009170
Thirteen,thirteen,C3715149
32 male,32 male,C0450371|C0086582
26 patients,26 patients,C0450371|C0030705
severe CF,severe cf,C0205082|C0009738
neurally mediated syncope,neurally mediated syncope,G0000000|C0086597|C0039070
healthy adult,healthy adult,C3898900|C0001675
peptic ulcers,peptic ulcers,C0443277|C0041582
101 men,101,C1442061
cases describing unusual effects,describing unusual effects,G0000000|C2700116|C1280500
mCRC,mcrc,G0000000
50 children undergoing laparoscopy for diagnostic and therapeutic purposes .,50 children undergoing laparoscopy diagnostic therapeutic purposes,C0450371|C0008059|G0000000|C0031150|C0011900|C0087111|C1285529
paid job,paid job,C0871051|C0028811
30 women,30 women,C0450371|C0043210
bypass surgery,bypass surgery,C0741847|C0038894
"10 women ,",10 women,C0450371|C0043210
Obese,obese,C0028754
Forty-nine children,forty-nine children,C3816450|C0008059
childhood autism,childhood autism,C0231335|C0004352
chronic respiratory complaints,chronic respiratory complaints,C0205191|C0521346|C0277786
"median , 76 years",median 76,C0549183|C0450371
moderate to severe postoperative pain,moderate severe postoperative pain,C0205081|C0205082|C0032790|C0030193
62 patients,62 patients,C0450371|C0030705
mild to moderate renal insufficiency,mild moderate renal insufficiency,C2945599|C0205081|C0022646|C0231179
ASD and anxiety symptoms,asd anxiety symptoms,C0003516|C0003467|C0683368
GHD adults,ghd adults,C0271561|C0001675
acute depressive mixed state,acute depressive mixed,C0205178|G0000000|C0205430
not received prior therapy,received prior therapy,C1514756|C0332152|C0039798
Cases of renal stone,renal stone,C0022646|C0006736
resectable LARC,resectable larc,C1514888|C1366524
mean age of 57 +/- 9,age 57 +/- 9,C0001779|C0450371|G0000000|G0000000
Thirty patients undergoing primary ICD implantation or pulse generator replacement,thirty patients undergoing primary icd implantation pulse generator replacement,C3816446|C0030705|G0000000|C0205225|C0021122|C0021107|C0232117|C0237638|C0035139
Adult,adult,C0001675
previous myocardial infarction,previous myocardial infarction,C0205156|C0027061|C0021308
above 60 years,60,C0450371
lower urinary tract symptoms,lower urinary tract symptoms,C0441994|C0042027|C1185740|C0683368
338 patients aged 60 years or older,338 patients aged 60,C1442061|C0030705|C0001779|C0450371
Thirty-one,thirty-one,C3816446
multiple sclerosis,multiple sclerosis,C0439064|C0036429
trabeculectomy,trabeculectomy,C0040574
"2,882",2 882,G0000000|C1442061
duodenal and gastric ulceration .,duodenal gastric ulceration,C0013303|C0038351|C0041582
respiratory distress .,respiratory distress,C0521346|C0231303
healthy nonobese males,healthy nonobese males,C3898900|G0000000|C0086582
advanced breast cancer,advanced breast cancer,C0205179|C0006141|C0006826
2771 pregnant women,2771 pregnant women,G0000000|C0549206|C0043210
prostates larger than 40 grams,prostates larger 40 grams,C0033572|C0549177|C0450371|C0439208
Twenty-nine,twenty-nine,C0450351
healthy control subjects,healthy control subjects,C3898900|C0243148|C0681850
< or=50 % ),< or=50 %,G0000000|C0450371|G0000000
25 healthy postmenopausal women,25 healthy postmenopausal women,C0450371|C3898900|C0232970|C0043210
healthy salt replete,healthy salt replete,C3898900|C0036140|G0000000
Trichuris infection,trichuris infection,C0040955|C0009450
women ( 32 +/- 4,women 32 +/- 4,C0043210|C0450371|G0000000|G0000000
laryngopharyngeal epidermoid carcinoma .,laryngopharyngeal epidermoid carcinoma,C0020629|G0000000|C0007097
69 ambulatory surgical,69 ambulatory surgical,C0450371|C0439841|C0543467
catheter insertion sites,catheter insertion sites,C0085590|C0021107|C0205145
painful peripheral neuropathy,painful peripheral neuropathy,C0030193|C0205100|C0442874
regurgitation,regurgitation,C0232605
infertile,infertile,C0021359
Sixty ( 60 ),sixty 60,C3816724|C0450371
acute neck pain,acute neck pain,C0205178|C0027530|C0030193
inherited 5 alpha-reductase deficiency,inherited 5 alpha-reductase deficiency,C0439660|G0000000|C0439095|C0011155
uterine myomas,uterine myomas,C0042149|C0027086
with cirrhosis of the liver and bleeding esophageal varices,cirrhosis liver bleeding esophageal varices,C0023890|C0023884|C0019080|C1522619|C0042345
moderate ( II and III NYHA class ) congestive heart failure,moderate ii iii nyha class congestive heart failure,C0205081|G0000000|C0439070|G0000000|C0456387|C0742742|C0018787|C0231174
1019 men,1019,G0000000
angle glaucoma or ocular hypertension,angle glaucoma ocular hypertension,C0205143|C0017601|C0015392|C0020538
moderate acne vulgaris,moderate acne vulgaris,C0205081|C0001144|G0000000
One hundred one,NULL,NULL
menopausal hot flushes,menopausal hot flushes,C0025320|C0444519|C0005874
cervical cancer,cervical cancer,C0027530|C0006826
previously received anthracyclines,received anthracyclines,C1514756|C0003234
9 male,9 male,G0000000|C0086582
undergoing upper abdominal surgery,undergoing upper abdominal surgery,G0000000|C1282910|C0000726|C0038894
low-grade gliomas,low-grade gliomas,C1282907|C0017638
mild ( stage I ),mild stage,C2945599|C0205390
Human maxillary central incisors,human maxillary central incisors,C0086418|C0024947|C0205099|C0021156
hypertensive obese men,hypertensive obese,C0857121|C0028754
Preterm infants,preterm infants,C0151526|C0021270
wart,wart,C0043037
Brain activity correlates,brain activity correlates,C0006104|C0205177|G0000000
Colorectal carcinoma,colorectal carcinoma,C0555952|C0007097
Thirty-nine subjects,thirty-nine subjects,C3816447|C0681850
non-Hodgkin lymphoma,non-hodgkin lymphoma,C0024305|C0024299
"4,444",4 444,G0000000|C1442061
elective caesarean section under epidural analgesia,elective caesarean epidural analgesia,C0206058|C3841297|C0228134|C0002766
mid and low rectal adenocarcinomas,mid low rectal adenocarcinomas,C0444598|C0205251|C0205052|C0001418
OSA,osa,C0520679
Actinic keratosis,actinic keratosis,C0439681|C0022593
31 gastric lymphoma,31 gastric lymphoma,C0450371|C0038351|C0024299
junior high school girls,junior school girls,C1708595|C0036375|C0870604
five females,females,C0015780
77 ),77,C0450371
BRIM2,brim2,G0000000
BRIM3,brim3,G0000000
appropriate-for-gestational age,appropriate-for-gestational age,C1548787|C0001779
nephropathy,nephropathy,C0022658
dental pain,dental pain,C0011365|C0030193
Prostate,prostate,C0033572
18 or younger,18,C0450371
progressive chronic renal failure,progressive chronic renal failure,C0205329|C0205191|C0022646|C0231174
skeletally matured non-syndromal patients with transverse maxillary hypoplasia .,skeletally matured non-syndromal patients transverse maxillary hypoplasia,G0000000|C0205286|C1518422|C0030705|C0205106|C0024947|C0243069
severe traumatic brain injury patients :,severe traumatic brain injury patients,C0205082|C0332663|C0006104|C3263722|C0030705
"Fifteen males with angiographic evidence of coronary heart disease and stable , exercise-induced angina pectoris",fifteen males angiographic evidence coronary heart disease stable exercise-induced angina pectoris,C3715153|C0086582|C0002978|C3887511|C0018787|C0018787|C0012634|C0205360|C0239313|C0002962|G0000000
182 prenatal Vietnamese women,182 prenatal vietnamese women,C1442061|C0678804|C0042660|C0043210
neuroblastoma,neuroblastoma,C0027819
hyperphosphatemic patients with end-stage renal disease .,hyperphosphatemic patients end-stage renal disease,C0085681|C0030705|C0205088|C0022646|C0012634
non-insulin dependent diabetes mellitus .,non-insulin dependent diabetes mellitus,C1518422|C0851827|C0011847|G0000000
FIGO stage I endometrial carcinoma,figo stage endometrial carcinoma,C2983134|C0205390|C0227843|C0007097
"tight hamstrings and at least one latent MTrP on muscles innervated by the lumbosacral , sciatic , tibial and common peroneal nerves",tight hamstrings latent mtrp muscles innervated lumbosacral sciatic tibial common peroneal nerves,C0439816|C0584895|C0205275|C1417056|C0026845|G0000000|C0223603|G0000000|C0040184|C0205214|C0442035|C0027740
bronchial hyperresponsiveness,bronchial hyperresponsiveness,C0205039|G0000000
Women,women,C0043210
streptococcal tonsillopharyngitis,streptococcal tonsillopharyngitis,C0038402|C0749591
healthy human,healthy human,C3898900|C0086418
14 healthy,14 healthy,C0450371|C3898900
pT2/T3 primary tumors,pt2/t3 primary tumors,C0030899|C0205225|C0027651
84 adults,84 adults,C0450371|C0001675
[ Localised prostate cancer :,localised prostate cancer,C0392752|C0033572|C0006826
young asthmatics ],asthmatics,C0004096
poisoning with acetaminophen,poisoning acetaminophen,C0032343|C0000970
"median age , 21 years",median age 21,C0549183|C0001779|C0450371
"chronic sinusitis , 42",chronic sinusitis 42,C0205191|C0037199|C0450371
2830,2830,G0000000
GER,ger,C0017168
endometrial cancer,endometrial cancer,C0227843|C0006826
flat ( FC ) or acuminata ( CA ) condylomata,flat fc acuminata condylomata,C0205324|C2983605|G0000000|C0302180
15 men,15,C0450371
infection,infection,C0009450
GH deficiency,gh deficiency,C0033993|C0011155
Autism Spectrum Disorder,autism spectrum disorder,C0004352|C1883073|C0012634
paroxysmal atrial fibrillation,paroxysmal atrial fibrillation,C0205311|C0018792|C0232197
post-cesarean section ( CS ),post-cesarean cs,C0687676|C0010182
type 1 or type 2 diabetes,type 1 type 2 diabetes,C0332307|G0000000|C0332307|G0000000|C0011847
patients in state hospitals,patients hospitals,C0030705|C0019994
non-Hodgkin 's lymphoma ],non-hodgkin lymphoma,C0024305|C0024299
advanced colorectal cancer,advanced colorectal cancer,C0205179|C0555952|C0006826
64 %,64 %,C0450371|G0000000
Twenty-four patients,twenty-four patients,C3715070|C0030705
64 ),64,C0450371
benign prostatic hyperplasia,benign prostatic hyperplasia,C0205183|C0033572|C0020507
40-year-old women,40-year-old women,C0450371|C0043210
gastric acid secretion,gastric acid secretion,C0038351|C0001128|C0036536
colonic cancer,colonic cancer,C0009368|C0006826
47 were on placebo,47 placebo,C0450371|C0032042
posterior blepharitis,posterior blepharitis,C0205095|C0005741
gallstones,gallstones,C0008350
colorectal adenoma recurrence,colorectal adenoma recurrence,C0555952|C0001430|C0034897
Seventy-one,seventy-one,C3816957
preschool-aged children,preschool-aged children,C0424930|C0008059
Ninety-nine,ninety-nine,C3828813
Thirty-two patients with left anterior descending coronary artery ( LAD ) or two-vessel heart disease ( including LAD ) who were to undergo off-pump CABG,thirty-two patients left anterior descending coronary artery lad two-vessel heart disease including lad undergo off-pump cabg,C3816446|C0030705|C0205091|C0205094|C0205386|C0018787|C0003842|G0000000|C4037954|C0018787|C0012634|C0332257|G0000000|G0000000|C1518543|C0010055
85 children,85 children,C0450371|C0008059
continuous epidural anaesthesia,continuous epidural anaesthesia,C0549178|C0228134|C0002903
Forty-seven children,forty-seven children,C3816449|C0008059
bradycardia,bradycardia,C0428977
post-amputation wounds,post-amputation wounds,C0687676|C0021501
post amputation wounds,post amputation wounds,C0687676|C0002688|C0021501
lean subjects,lean subjects,G0000000|C0681850
Twenty-eight children,twenty-eight children,C0724000|C0008059
GHD,ghd,C0271561
oedema,oedema,C0013604
Seventy-nine,seventy-nine,C3828184
hemodialysis arteriovenous fistula stenoses resistant to conventional balloon angioplasty .,hemodialysis arteriovenous fistula stenoses resistant conventional balloon angioplasty,C0019004|C0450109|C0016169|C1261287|C0332325|C0439858|C0336867|C0162577
stable heart failure,stable heart failure,C0205360|C0018787|C0231174
mean age +/- SD of 69.1 +/- 6.1 years,age +/- sd 69 1 +/- 6 1,C0001779|G0000000|C2699239|C0450371|G0000000|G0000000|G0000000|G0000000
chronic idiopathic urticaria ( CIU ),chronic idiopathic urticaria ciu,C0205191|C0332240|C0042109|G0000000
patellar instability,patellar instability,C0030647|C1444783
aneurysms,aneurysms,C0002940
36 hypertensive,36 hypertensive,C0450371|C0857121
advanced malignancies,advanced malignancies,C0205179|C0006826
GERD,gerd,C0017168
exploration of the common bile duct,exploration common bile duct,C1280903|C0205214|C0005388|C0687028
OA of the hip and knee,oa hip knee,C0029408|C0019552|C0022742
deep-vein thrombosis,deep-vein thrombosis,C0226514|C0040053
"1603 patients with PRO data , 105 had a recurrence and 342 had a complication at 2 years .",1603 patients pro data 105 recurrence 342 complication 2,G0000000|C0030705|C0033382|C1511726|C1442061|C0034897|C1442061|C0009566|G0000000
immigrant Vietnamese women,immigrant vietnamese women,C0282163|C0042660|C0043210
young children with autism,children autism,C0008059|C0004352
bilateral salpingo-oophrectomy,bilateral salpingo-oophrectomy,C0238767|C0748489
488 ),488,C1442061
thirteen,thirteen,C3715149
patients with Parkinson 's disease,patients parkinson disease,C0030705|C1021144|C0012634
condylomata acuminata,condylomata acuminata,C0302180|G0000000
unfavorable subgroup,unfavorable subgroup,C3640815|C1079230
37 years,37,C0450371
Primary biliary cirrhosis ( PBC ),primary biliary cirrhosis pbc,C0205225|C0521378|C0023890|C0008312
1559,1559,G0000000
outpatient anesthesia,outpatient anesthesia,C0029921|C0002903
10 children,10 children,C0450371|C0008059
Oscillatory,oscillatory,G0000000
chronic treatment,chronic treatment,C0205191|C0039798
class II furcation defects,class ii furcation defects,C0456387|G0000000|C2825929|C0243067
primary vaccination,primary vaccination,C0205225|C0042196
Breast Cancer,breast cancer,C0006141|C0006826
patients with mixed dyslipidaemia and metabolic syndrome,patients mixed dyslipidaemia metabolic syndrome,C0030705|C0205430|C0242339|C0311400|C0039082
Age of 75,age 75,C0001779|C0450371
subcutaneous heparin,subcutaneous heparin,C0443315|C0019134
pancreatic insufficiency,pancreatic insufficiency,C0030274|C0231179
ventricular arrhythmias,ventricular arrhythmias,C0018827|C0003811
acquired brain-injured,acquired brain-injured,C0439661|C0006104
mild OSA,mild osa,C2945599|C0520679
52 premenopausal,52 premenopausal,C0450371|C0279752
social phobia,social phobia,C0728831|C0349231
dynamic hip screw,dynamic hip screw,C0729333|C0019552|C0005975
perennial allergic rhinitis,perennial allergic rhinitis,G0000000|C0700624|C0035455
Fifty-nine women,fifty-nine women,C3830128|C0043210
advanced breast cancers,advanced breast cancers,C0205179|C0006141|C0006826
mean age 34.4 ( range 23-48 ),age 34 4 range 23-48,C0001779|C0450371|G0000000|C1514721|C0450371
mothers,mothers,C0026591
hypertensive disease,hypertensive disease,C0857121|C0012634
10 normal,10 normal,C0450371|C0205307
primary and metastatic prostate tumors .,primary metastatic prostate tumors,C0205225|C0036525|C0033572|C0027651
premenopausal,premenopausal,C0279752
septic shock :,septic shock,C0333534|C0036974
stage II and stage III human colon cancer,stage ii stage iii human colon cancer,C0205390|G0000000|C0205390|C0439070|C0086418|C0009368|C0006826
cocaine-dependent,cocaine-dependent,C0009170
Level 1 trauma,level 1 trauma,C0441889|G0000000|C0043251
"moderate and heavy recreational use of MDMA , respectively",moderate heavy recreational mdma,C0205081|C0439539|C0034872|C0115471
children < 6 years,children < 6,C0008059|G0000000|G0000000
Eighty-eight overweight,eighty-eight overweight,C3816958|C0497406
